DAY_DATE,MASKED_CUSTOMER_ID,VARIANT_ID,BUSINESS_AREA_NAME,PRODUCT_GROUP_NAME,STYLE_NAME,COLOUR_GROUP,SIZE_DESC
2025-03-21,28,30050990791,Womens Wear,Jeans,Trousers denim low waist strai,Blank,36
2025-03-21,28,30046500070,Womens Wear,T-Shirt,Tshirt Lonnie,White,S
2025-03-21,92,30017150080,Womens Wear,Jeans,Trousers denim superwide grey,Black,38
2025-03-21,10,86161860080,Womens Wear,Trousers,Trousers Lykke cropped twill,Black,42
2025-03-21,10,30060180363,Womens Wear,Hair Items,Scrunch leo,Beige,0
2025-03-22,54,30024497320,Womens Wear,Cardigan,Cardigan Ida,Beige,M
2025-03-23,42,30040850791,Womens Wear,Shirt,Shirt Gunhild Denim,Blank,XL
2025-03-23,42,81930590791,Womens Wear,Jeans,Trousers denim Hanna retro blu,Blank,52
2025-03-23,42,81930590791,Womens Wear,Jeans,Trousers denim Hanna retro blu,Blank,50
2025-03-23,23,30041254114,Womens Wear,Top,Top Tara,Blue,M
2025-03-23,23,30055305137,Womens Wear,Shirt,Shirt Shirly Oxford,Blue,M
2025-03-23,44,30013830080,Womens Wear,Top,Bodysuit Mandy,Black,XL
2025-03-23,44,30045900300,Womens Wear,Top,Tank top Nelly,White,XL
2025-03-23,44,30045900080,Womens Wear,Top,Tank top Nelly,Black,XL
2025-03-23,44,30043887424,Womens Wear,Top,Top Love,Blue,XL
2025-03-23,44,30042167862,Womens Wear,Jeans,Trouser denim Nea ecru,White,46
2025-03-23,42,30058570791,Womens Wear,Headgear,Cap Denim,Blank,0
2025-03-25,93,30013120080,Womens Wear,Sweater,Sweater Mio Merino wool,Black,L
2024-12-13,63,30000842150,Womens Wear,Cardigan,Cardigan Anna,Blue,XL
2024-12-13,63,30000847708,Womens Wear,Cardigan,Cardigan Anna,Brown,XL
2024-12-13,6,86161860080,Womens Wear,Trousers,Trousers Lykke cropped twill,Black,40
2025-03-15,72,85842242033,Womens Wear,Hair Items,A 18 pcs hair elastics thin,Beige,0
2025-03-15,72,30031410080,Womens Wear,Indoor Blazer/Jacket,Blazer Mia,Black,XS
2025-03-15,40,30061091010,Womens Wear,Sunglasses,Sunglass Dani,Green,0
2025-09-03,34,30076689612,Womens Wear,Indoor Blazer/Jacket,Blazer Agatha,Red,XS
2025-09-03,77,86247940080,Womens Wear,Indoor Vest,Vest Dina black,Black,XS
2025-09-03,77,30041660822,Womens Wear,Jeans,Trousers denim wide crease rin,Blue,42
2025-09-03,77,30026520300,Womens Wear,Top,Top Katarina,White,L
2025-06-15,42,30057370080,Womens Wear,Shirt,Shirt Amina,Black,XL
2025-06-15,42,30057377424,Womens Wear,Shirt,Shirt Amina,Blue,XL
2025-06-25,56,30068316983,Womens Wear,Trousers,Trouser Harem,Red,S
2025-06-25,56,30067460300,Womens Wear,Top,Top Lyla,White,S
2025-06-25,56,30079652128,Womens Wear,Dress,Dress Bim,Pink,M
2025-06-25,56,30064490070,Womens Wear,Camisole/Undershirt,Camisole Frida,White,S
2025-06-25,56,30057270080,Womens Wear,Shorts,Shorts Andrea,Black,40
2025-06-17,54,30052791418,Womens Wear,Dress,Dress Phoebe,White,M
2025-06-17,54,30052791418,Womens Wear,Dress,Dress Phoebe,White,M
2025-06-17,54,30052791418,Womens Wear,Dress,Dress Phoebe,White,S
2025-06-17,54,30052791418,Womens Wear,Dress,Dress Phoebe,White,L
2025-06-17,89,30072082118,Womens Wear,Skirt,Skirt Isolde,Green,S
2025-06-17,8,30067456963,Womens Wear,Cardigan,Cardigan Siri,Pink,S
2025-06-26,56,30057270080,Womens Wear,Shorts,Shorts Andrea,Black,42
2025-03-30,23,30031300080,Womens Wear,Top,Top Zoeline knitted,Black,M
2025-03-30,11,30045500766,Womens Wear,Jeans,Trouser Karen cropped light bl,Blue,44
2025-03-31,92,30043557862,Womens Wear,Shirt,Shirt Blouse Selina,White,M
2025-06-27,38,30080400080,Womens Wear,Hair Items,Hair elastic w rhines 2 p,Black,0
2025-06-27,54,30052791418,Womens Wear,Dress,Dress Phoebe,White,L
2025-06-27,57,30007239614,Womens Wear,Shorts,Shorts Chino,Blue,38
2025-06-27,51,30079148668,Womens Wear,Blouse,Blouse Majsan,Red,M
2025-06-27,51,30072588467,Womens Wear,Top,Top Sonia,Blue,M
2024-12-19,92,30013360080,Womens Wear,Sweater,Sweater Mohair blend Selma,Black,XL
2025-04-07,56,30057159614,Womens Wear,Shirt,Shirt Ella,Blue,M
2024-12-21,10,30023430619,Womens Wear,Dress,Dress Agatha,Red,M
2024-12-21,10,30023430619,Womens Wear,Dress,Dress Agatha,Red,L
2024-12-21,10,30020310080,Womens Wear,Dress,Dress Emmy,Black,L
2024-12-21,10,30026970080,Womens Wear,Headgear,Headband Rosalie boucle,Black,0
2025-04-10,69,86081950080,Womens Wear,Trousers,Trousers Daisy cropped punto,Black,L
2025-04-10,69,83266630080,Womens Wear,Top,T shirt Erica Basic cotton,Black,L
2025-07-02,67,30062117362,Womens Wear,Shorts,Shorts Mirjam seersucker,Pink,S
2025-07-02,76,30065437477,Womens Wear,Dress,Dress Elsa AOP,Pink,S
2025-07-04,67,30057009614,Womens Wear,Blouse,Blouse Jellena,Blue,S
2024-12-22,30,30028277862,Womens Wear,Top,Top Athena,White,XS
2024-12-22,92,30013360080,Womens Wear,Sweater,Sweater Mohair blend Selma,Black,XL
2024-12-22,84,30033059612,Womens Wear,Trousers,Trousers Beth vegan leather,Red,42
2024-09-24,61,30027440790,Womens Wear,Trousers,Trousers Colette Denim,Blue,36
2024-09-25,50,30013340211,Womens Wear,Outdoor Coat/Jacket,Coat Sam,Neutrals,M
2024-09-25,44,30022180080,Womens Wear,Dress,Dress Ally,Black,L
2024-09-25,44,30031570822,Womens Wear,Jeans,Trousers denim wide long patch,Blue,44
2024-09-25,56,30027840080,Womens Wear,Trousers,Shorts Jordan black,Black,40
2024-09-25,44,86087418117,Womens Wear,Skirt,Skirt Maria,Brown,L
2024-09-25,72,30033947520,Womens Wear,Outdoor Scarf,Scarf big fringe  skinny,Green,0
2024-09-25,72,30011526012,Womens Wear,Top,Top Wanda wool blend,Pink,S
2024-09-25,50,30031539614,Womens Wear,Indoor Blazer/Jacket,Blazer George pinstripe,Blue,M
2024-09-25,50,30022917339,Womens Wear,Shirt,Shirt Shirley,Blue,L
2024-09-25,50,85296360080,Womens Wear,Jeans,Trouser denim Betty black,Black,44
2024-09-25,44,30010048521,Womens Wear,Dress,Dress draped MOM,Pink,L
2025-07-08,31,30071640300,Womens Wear,Top,Top Pike Jos,White,L
2025-07-08,94,30060097862,Womens Wear,Dress,Dress Monica,White,M
2025-07-08,94,30038626994,Womens Wear,Top,Top Nell,White,L
2024-09-26,56,30037229873,Womens Wear,Sweater,Sweater Linnea,Red,S
2025-07-08,76,76849952150,Womens Wear,Top,Top Natalie Color,Blue,M
2024-12-30,23,30015469577,Womens Wear,Blouse,Blouse Olivia,Black,S
2024-12-30,23,30000451230,Womens Wear,Top,Top Lorelai,Beige,S
2024-09-30,50,86820484939,Womens Wear,Outdoor Coat/Jacket,Trenchcoat Luna,Beige,M
2024-09-30,34,30031870080,Womens Wear,Trousers,Trousers Felicia,Black,36
2024-10-02,26,30038670080,Womens Wear,Top,Top Lollo,Black,S
2024-10-02,26,86161860080,Womens Wear,Trousers,Trousers Lykke cropped twill,Black,36
2024-10-02,46,81445410080,Womens Wear,Jeans,Trousers denim Vera stay black,Black,40
2025-07-14,29,30075026724,Womens Wear,Dress,Dress Miranda print,Green,L
2025-07-14,29,30070476983,Womens Wear,Dress,Dress Gloria linen,Red,L
2025-07-14,36,30060678668,Womens Wear,Dress,Dress Olivia,Red,XS
2024-10-05,71,85777280300,Womens Wear,Headgear,Hat Bucket cotton stripe,White,0
2024-10-05,71,30025756739,Womens Wear,Sweater,Sweater Tova Crochet knitted,Pink,L
2024-10-05,56,30040520150,Womens Wear,Bag,Bag Party,Grey,0
2024-10-05,56,86588310080,Womens Wear,Skirt,Skirt Zelinda,Black,S
2025-07-17,7,30062690790,Womens Wear,Shorts,Denim shorts Alma,Blue,44
2025-07-17,7,30064096665,Womens Wear,Blouse,Blouse Cassi,Pink,XL
2025-07-17,7,30000384692,Womens Wear,Skirt,Skirt Mary,Yellow,M
2024-10-08,83,85326380080,Womens Wear,Leggings,Leggings Lillian MOM,Black,M
2024-10-06,5,30013538659,Womens Wear,Top,Top Bea,Beige,XS
2024-10-06,92,30012578503,Womens Wear,Outdoor Coat/Jacket,Coat Cora,Khaki,L
2024-10-06,71,30025751480,Womens Wear,Sweater,Sweater Tova Crochet knitted,White,S
2025-04-28,53,30033403655,Womens Wear,Sweater,Sweater Meira cashmere,Grey,M
2025-04-29,78,85750190080,Womens Wear,Hair Items,Hairgrip clean 10cm,Black,0
2025-04-29,78,83266630070,Womens Wear,Top,T shirt Erica Basic cotton,White,S
2025-04-29,44,30051020070,Womens Wear,Dress,Dress Amaris,White,M/L
2025-04-29,73,30072679614,Womens Wear,Cardigan,Cardigan Nicole,Blue,XS
2025-04-29,62,80165230080,Womens Wear,Trousers,Trousers Lykke,Black,38
2025-01-14,18,30040747488,Womens Wear,Sweater,Sweater Bell,White,M
2025-01-14,18,86489020080,Womens Wear,Bag,Bag Bumbag Uno,Black,0
2025-05-02,35,30060781945,Womens Wear,Indoor Scarf,Scarf aop Anna,Green,0
